ID,Language_ID,Name,Description,Part_Of_Speech,Parameter_ID,Comment,Paradigm_View,Source
tejporemi-tasty-nmlz,yab,tejpore-mï,,n,tasty-NMLZ,,,
weseyuri-be-brave-acnnmlz,yab,weseyu-ri,,n,be_brave-ACNNMLZ,,,
tari-say-acnnmlz,yab,ta-ri,,n,say-ACNNMLZ,,,
chiri-cop-acnnmlz,yab,chi-ri,,n,COP-ACNNMLZ,,,
yenese-eat-meat-ptcp,yab,yënë-se,,n,eat(meat)-PTCP; eat(meat)-SUP,,,
tajtane-say-cncs,yab,taj-tane,,adv,say-CNCS,,,
tajtoj-say-circ-nmlz,yab,taj-toj,,n,say-CIRC.NMLZ,,,
inijpe-see-pst-acnnmlz,yab,ini-jpë,,n,see-PST.ACNNMLZ,,,
sereke-bitter-manioc-prop,yab,sere-ke,,adv,bitter_manioc-PROP,,,
yemepeti-eat-fruits-eggs-soup-plur,yab,yeme-pëti,,vt,"eat(fruits,_eggs,_soup)-PLUR",,,
keyatajpe-grow-pst-acnnmlz,yab,këyata-jpë,,n,grow-PST.ACNNMLZ,,,
enireno-now-nmlz,yab,enirë-no,,n,now-NMLZ; today-NMLZ,,,
yaweno-loc-nmlz,yab,yawë-no,,n,LOC-NMLZ,,,
nairi-do-acnnmlz,yab,nai-ri,,adv,do-ACNNMLZ,,,
ijmojkatopo-cook-circ-nmlz,yab,ijmojka-topo,,n,cook-CIRC.NMLZ,,,
kani-take-out-agtnmlz,yab,ka-ni,,n,take_out-AGTNMLZ,,,
turi-give-acnnmlz,yab,tu-ri,,n,give-ACNNMLZ,,,
empampej-learn-plur,yab,ëmpam-pëj,,vi,learn-PLUR,,,
moronkapo-make-suffer-des,yab,moronka-po,,vt,make_suffer-DES,,,
taropo-say-des,yab,taro-po,,vt,say-DES,,,
empamtoj-learn-circ-nmlz,yab,ëmpam-toj,,n,learn-CIRC.NMLZ,,,
tajpeti-say-plur,yab,taj-pëti,,vt,say-PLUR,,,
pojteri-want-acnnmlz,yab,pojtë-ri,,n,want-ACNNMLZ,,,
wejpo-come-des,yab,wej-po,,vi,come-DES,,,
yepematopo-pay-circ-nmlz,yab,yepema-topo,,n,pay-CIRC.NMLZ,,,
warotatopo-work-circ-nmlz,yab,warota-topo,,n,work-CIRC.NMLZ,,,
yakaramari-tell-acnnmlz,yab,yakarama-ri,,n,tell-ACNNMLZ,,,
serekapo-become-tired-des,yab,sereka-po,,vi,become_tired-DES,,,
pokono-about-nmlz,yab,poko-no,,n,about-NMLZ,,,
tunamri-hide-acnnmlz,yab,tunam-ri,,n,hide-ACNNMLZ,,,
yarikatopo-laugh-circ-nmlz,yab,yarika-topo,,n,laugh-CIRC.NMLZ,,,
itapo-hear-des,yab,ita-po,,vt,hear-DES,,,
yaruwatopo-laugh-circ-nmlz,yab,yaruwa-topo,,n,laugh-CIRC.NMLZ,,,
iniri-see-acnnmlz,yab,ini-ri,,n,see-ACNNMLZ,,,
yarikase-laugh-ptcp,yab,yarika-se,,n,laugh-PTCP; laugh-SUP,,,
yakaramapeti-tell-plur,yab,yakarama-pëti,,vt,tell-PLUR,,,
yeneni-eat-meat-agtnmlz,yab,yënë-ni,,n,eat(meat)-AGTNMLZ,,,
ekejna-where-nmlz,yab,ëkëj-na,,n,where-NMLZ,,,
yapejtane-grab-cncs,yab,yapëj-tane,,adv,grab-CNCS,,,
mukupijke-child-dim,yab,muku-pïjkë,,n,child-DIM,,,
yenepej-eat-meat-plur,yab,yënë-pëj,,vt,eat(meat)-PLUR,,,
tena-loc-nmlz,yab,të-na,,n,LOC-NMLZ,,,
tampapeti-become-angry-plur,yab,tampa-pëti,,vi,become_angry-PLUR,,,
panake-ear-prop,yab,pana-ke,,adv,ear-PROP,,,
samopeti-cry-plur,yab,samo-pëti,,vi,cry-PLUR,,,
tajrominke-bad-omen-prop,yab,tajromin-ke,,n,bad_omen-PROP,,,
semapej-die-plur,yab,sëma-pëj,,vi,die-PLUR,,,
semari-die-acnnmlz,yab,sëma-ri,,n,die-ACNNMLZ,,,
esemane-die-inf,yab,ësëma-në,,n,die-INF,,,
wenkejpej-forget-plur,yab,wënkej-pëj,,vi,forget-PLUR,,,
weseise-be-brave-ptcp,yab,wesei-se,,n,be_brave-PTCP; be_brave-SUP,,,
atapejse-seize-on-ptcp,yab,atapëj-se,,adv,seize_on-PTCP; seize_on-SUP,,,
tapej-say-plur,yab,ta-pëj,,vt,say-PLUR,,,
inpo-see-des,yab,in-po,,vt,see-DES,,,
tawejkari-dawn-acnnmlz,yab,tawejka-ri,,n,dawn-ACNNMLZ,,,
yakase-dig-out-ptcp,yab,yaka-se,,n,dig_out-PTCP; dig_out-SUP,,,
enteno-here-loc-nmlz,yab,entë-no,,n,here.LOC-NMLZ,,,
yenpo-drink-des,yab,yën-po,,vt,drink-DES,,,
yempekapeti-offend-plur,yab,yëmpëka-pëti,,vt,offend-PLUR,,,
semajpe-die-pst-acnnmlz,yab,sëma-jpë,,n,die-PST.ACNNMLZ,,,
yemiri-be-hungry-acnnmlz,yab,yëmi-ri,,n,be_hungry-ACNNMLZ,,,
serematojpe-eat-purp,yab,s-erema-tojpe,,adv,eat-PURP,,,
semasape-die-abs-nmlz,yab,sëma-sapë,,n,die-ABS.NMLZ,,,
kejmatojpe-hunt-purp,yab,këjma-tojpe,,adv,hunt-PURP,,,
ijmokatojpe-cook-purp,yab,ijmoka-tojpe,,adv,cook-PURP,,,
tajtojpe-say-purp,yab,taj-tojpe,,adv,say-PURP,,,
wejtane-cop-cncs,yab,wej-tane,,adv,COP-CNCS,,,
inse-see-ptcp,yab,in-se,,adv,see-PTCP; see-SUP,,,
ijmojkani-cook-agtnmlz,yab,ijmojka-ni,,n,cook-AGTNMLZ,,,
yanse-pick-up-ptcp,yab,yan-se,,n,pick_up-PTCP; pick_up-SUP,,,
tuse-give-ptcp,yab,tu-se,,n,give-PTCP; give-SUP,,,
teri-go-acnnmlz,yab,të-ri,,n,go-ACNNMLZ,,,
itopo-put-circ-nmlz,yab,i-topo,,n,put-CIRC.NMLZ,,,
yantopo-pick-up-circ-nmlz,yab,yan-topo,,n,pick_up-CIRC.NMLZ,,,
apatakase-come-out-ptcp,yab,a-pataka-se,,adv,come_out-PTCP; come_out-SUP,,,
yenejpe-eat-meat-pst-acnnmlz,yab,yënë-jpë,,n,eat(meat)-PST.ACNNMLZ,,,
wejsape-come-abs-nmlz,yab,wej-sapë,,n,come-ABS.NMLZ,,,
apono-later-nmlz,yab,apo-no,,n,later-NMLZ; meanwhile-NMLZ,,,
moronemi-hurting-nmlz,yab,morone-mï,,n,hurting-NMLZ,,,
enirem-now-nmlz,yab,enirë-m,,n,now-NMLZ; today-NMLZ,,,
tojpapeti-hit-plur,yab,tojpa-pëti,,vt,hit-PLUR,,,
tani-say-agtnmlz,yab,ta-ni,,n,say-AGTNMLZ,,,
enijpeteno-one-nmlz,yab,enijpëtë-no,,n,one-NMLZ,,,
yampej-pick-up-plur,yab,yam-pëj,,vt,pick_up-PLUR,,,
weri-kill-acnnmlz,yab,wë-ri,,n,kill-ACNNMLZ,,,
epepej-escape-plur,yab,epe-pëj,,vi,escape-PLUR; hide_and_seek-PLUR,,,
wepej-kill-plur,yab,wë-pëj,,vt,kill-PLUR,,,
tajtopo-say-circ-nmlz,yab,taj-topo,,n,say-CIRC.NMLZ,,,
yojse-eat-starch-ptcp,yab,yoj-se,,n,eat(starch)-PTCP; eat(starch)-SUP,,,
yense-drink-ptcp,yab,yën-se,,n,drink-PTCP; drink-SUP,,,
yamanse-make-ptcp,yab,yaman-se,,n,make-PTCP; make-SUP,,,
yajwemari-sweeten-acnnmlz,yab,yajwema-ri,,n,sweeten-ACNNMLZ,,,
yeniri-drink-acnnmlz,yab,yëni-ri,,n,drink-ACNNMLZ,,,
semori-cry-acnnmlz,yab,sëmo-ri,,n,cry-ACNNMLZ,,,
senkari-finish-acnnmlz,yab,s-ënka-ri,,n,finish-ACNNMLZ,,,
chijpe-cop-pst-acnnmlz,yab,chi-jpë,,n,COP-PST.ACNNMLZ,,,
tarojpe-say-pst-acnnmlz,yab,taro-jpë,,n,say-PST.ACNNMLZ,,,
watiri-burn-acnnmlz,yab,watï-ri,,n,burn-ACNNMLZ,,,
tene-go-inf,yab,të-në,,n,go-INF,,,
eseneri-see-self-acnnmlz,yab,esene-ri,,n,see_self-ACNNMLZ,,,
seneri-see-self-acnnmlz,yab,sene-ri,,n,see_self-ACNNMLZ,,,
rokotapeti-become-crazy-plur,yab,rokota-pëti,,vi,become_crazy-PLUR,,,
patakajpe-take-out-pst-acnnmlz,yab,pataka-jpë,,n,take_out-PST.ACNNMLZ,,,
wajpej-burn-plur,yab,waj-pëj,,vi,burn-PLUR,,,
senkase-finish-ptcp,yab,s-ënka-se,,n,finish-PTCP; finish-SUP,,,
yeke-tooth-prop,yab,ye-ke,,adv,tooth-PROP,,,
pojtepo-want-des,yab,pojtë-po,,vt,want-DES,,,
warotase-work-ptcp,yab,warota-se,,n,work-PTCP; work-SUP,,,
warotari-work-acnnmlz,yab,warota-ri,,n,work-ACNNMLZ,,,
iri-put-acnnmlz,yab,i-ri,,n,put-ACNNMLZ,,,
naijtopo-do-circ-nmlz,yab,naij-topo,,n,do-CIRC.NMLZ,,,
warotane-work-inf,yab,warota-në,,n,work-INF,,,
senkapeti-finish-plur,yab,s-ënka-pëti,,vi,finish-PLUR,,,
sempinukuri-close-eyes-acnnmlz,yab,sëmpinuku-ri,,n,close_eyes-ACNNMLZ,,,
senkapej-finish-plur,yab,s-ënka-pëj,,vi,finish-PLUR,,,
wajsape-burn-abs-nmlz,yab,waj-sapë,,n,burn-ABS.NMLZ,,,
ijmojkase-cook-ptcp,yab,ijmojka-se,,n,cook-PTCP; cook-SUP,,,
ijmojkari-cook-acnnmlz,yab,ijmojka-ri,,n,cook-ACNNMLZ,,,
minteno-there-loc-nmlz,yab,mïntë-no,,n,there.LOC-NMLZ,,,
tuni-give-agtnmlz,yab,tu-ni,,n,give-AGTNMLZ,,,
wejkapeti-fall-plur,yab,wëjka-pëti,,vi,fall-PLUR,,,
yapejpo-grab-des,yab,yapëj-po,,vt,grab-DES,,,
karasakemi-white-nmlz,yab,karasake-mï,,n,white-NMLZ,,,
asakeno-two-nmlz,yab,asakë-no,,n,two-NMLZ,,,
ipo-put-des,yab,i-po,,vt,put-DES,,,
semase-die-ptcp,yab,sëma-se,,adv,die-PTCP; die-SUP,,,
tepej-go-plur,yab,të-pëj,,vi,go-PLUR,,,
wepiri-come-acnnmlz,yab,wepï-ri,,n,come-ACNNMLZ,,,
winikiri-sleep-acnnmlz,yab,wïnïkï-ri,,n,sleep-ACNNMLZ,,,
sejpejse-dream-ptcp,yab,sejpëj-se,,adv,dream-PTCP; dream-SUP,,,
sejpetiri-dream-acnnmlz,yab,sejpëti-ri,,n,dream-ACNNMLZ,,,
sojpase-take-out-ptcp,yab,sojpa-se,,n,take_out-PTCP; take_out-SUP,,,
sematopo-die-circ-nmlz,yab,sëma-topo,,n,die-CIRC.NMLZ,,,
wejkase-fall-ptcp,yab,wëjka-se,,adv,fall-PTCP; fall-SUP,,,
empampo-learn-des,yab,ëmpam-po,,vi,learn-DES,,,
intojpe-see-purp,yab,in-tojpe,,adv,see-PURP,,,
winijpo-sleep-des,yab,wïnïj-po,,vi,sleep-DES,,,
kuneri-cook-acnnmlz,yab,kunë-ri,,n,cook-ACNNMLZ,,,
yojtopo-eat-starch-circ-nmlz,yab,yoj-topo,,n,eat(starch)-CIRC.NMLZ,,,
sukasemi-all-nmlz,yab,sukase-mï,,n,all-NMLZ,,,
nankajpe-find-pst-acnnmlz,yab,nanka-jpë,,n,find-PST.ACNNMLZ,,,
yeniri-drink-acnnmlz-1,yab,yeni-ri,,n,drink-ACNNMLZ,,,
intane-see-cncs,yab,in-tane,,adv,see-CNCS,,,
wejtetoj-go-down-circ-nmlz,yab,wëjtë-toj,,n,go_down-CIRC.NMLZ,,,
senkatoj-finish-circ-nmlz,yab,s-ënka-toj,,n,finish-CIRC.NMLZ,,,
patakase-take-out-ptcp,yab,pataka-se,,adv,take_out-PTCP; take_out-SUP,,,
keyetase-grow-ptcp,yab,këyeta-se,,adv,grow-PTCP; grow-SUP,,,
chijtoj-cop-circ-nmlz,yab,chij-toj,,n,COP-CIRC.NMLZ,,,
nemepeti-leave-plur,yab,nëmë-pëti,,vt,leave-PLUR,,,
yujwapeti-burn-plur,yab,yujwa-pëti,,vt,burn-PLUR,,,
keyatapej-grow-plur,yab,këyata-pëj,,vi,grow-PLUR,,,
papapijke-father-dim,yab,papa-pïjkë,,n,father-DIM,,,
tesape-go-abs-nmlz,yab,të-sapë,,n,go-ABS.NMLZ,,,
yawankatoj-kill-circ-nmlz,yab,yawanka-toj,,n,kill-CIRC.NMLZ,,,
yamanpej-make-plur,yab,yaman-pëj,,vt,make-PLUR,,,
poyeno-above-nmlz,yab,poye-no,,n,above-NMLZ,,,
yenepepej-send-away-plur,yab,yenepe-pëj,,vt,send_away-PLUR,,,
wejpej-come-plur,yab,wej-pëj,,vi,come-PLUR,,,
tampasape-become-angry-abs-nmlz,yab,tampa-sapë,,n,become_angry-ABS.NMLZ,,,
winijtane-sleep-cncs,yab,wïnïj-tane,,adv,sleep-CNCS,,,
yawankapej-kill-plur,yab,yawanka-pëj,,vt,kill-PLUR,,,
yaketepej-cut-plur,yab,yakëtë-pëj,,vt,cut-PLUR,,,
inchaj-see-abs-nmlz,yab,in-chaj,,n,see-ABS.NMLZ,,,
yawono-loc-nmlz,yab,yawo-no,,n,LOC-NMLZ,,,
yemese-eat-fruits-eggs-soup-ptcp,yab,yeme-se,,adv,"eat(fruits,_eggs,_soup)-PTCP; eat(fruits,_eggs,_soup)-SUP",,,
yemepo-eat-fruits-eggs-soup-des,yab,yeme-po,,vt,"eat(fruits,_eggs,_soup)-DES",,,
nopan-good-nmlz,yab,nop-an,,n,good-NMLZ,,,
wetopo-kill-circ-nmlz,yab,wë-topo,,n,kill-CIRC.NMLZ,,,
tapiremi-red-nmlz,yab,tapire-mï,,n,red-NMLZ,,,
winijsape-sleep-abs-nmlz,yab,wïnïj-sapë,,n,sleep-ABS.NMLZ,,,
apatakari-come-out-acnnmlz,yab,a-pataka-ri,,n,come_out-ACNNMLZ,,,
waraijtoke-husband-prop,yab,waraijto-ke,,n,husband-PROP,,,
patakapeti-take-out-plur,yab,pataka-pëti,,vt,take_out-PLUR,,,
esemapo-die-des,yab,ësëma-po,,vi,die-DES,,,
semapo-die-des,yab,sëma-po,,vi,die-DES,,,
nejtane-bring-cncs,yab,nej-tane,,adv,bring-CNCS,,,
yanri-pick-up-acnnmlz,yab,yan-ri,,n,pick_up-ACNNMLZ,,,
winijse-sleep-ptcp,yab,wïnïj-se,,adv,sleep-PTCP; sleep-SUP,,,
wurijyampijke-woman-dim,yab,wurijyam-pïjkë,,n,woman-DIM,,,
naijpeti-do-plur,yab,naij-pëti,,vt,do-PLUR,,,
ejwenakajpe-vomit-pst-acnnmlz,yab,ëj-wenaka-jpë,,n,vomit-PST.ACNNMLZ,,,
inpeti-see-plur,yab,in-pëti,,vt,see-PLUR,,,
tipapej-go-in-group-plur,yab,tipa-pëj,,vi,go_in_group-PLUR,,,
mukuke-child-prop,yab,muku-ke,,n,child-PROP,,,
karasakem-white-nmlz,yab,karasake-m,,n,white-NMLZ,,,
yenepo-eat-meat-des,yab,yënë-po,,vt,eat(meat)-DES,,,
rokari-wash-acnnmlz,yab,roka-ri,,n,wash-ACNNMLZ,,,
weretapej-arrive-plur,yab,wereta-pëj,,vi,arrive-PLUR,,,
weretari-arrive-acnnmlz,yab,wereta-ri,,n,arrive-ACNNMLZ,,,
winijpej-sleep-plur,yab,wïnïj-pëj,,vi,sleep-PLUR,,,
yantoj-pick-up-circ-nmlz,yab,yan-toj,,n,pick_up-CIRC.NMLZ,,,
yamantane-make-cncs,yab,yaman-tane,,adv,make-CNCS,,,
kamwiyajkase-change-ptcp,yab,kamwiyajka-se,,adv,change-PTCP; change-SUP,,,
tase-say-ptcp,yab,ta-se,,adv,say-PTCP; say-SUP,,,
atike-plot-of-cultivated-land-prop,yab,ati-ke,,adv,plot_of_cultivated_land-PROP,,,
wejteri-go-down-acnnmlz,yab,wëjtë-ri,,n,go_down-ACNNMLZ,,,
enujtane-go-up-cncs,yab,ënuj-tane,,adv,go_up-CNCS,,,
enukuri-go-up-acnnmlz,yab,ënuku-ri,,n,go_up-ACNNMLZ,,,
esemapej-die-plur,yab,ësëma-pëj,,vi,die-PLUR,,,
ejpenakapeti-return-plur,yab,ëjpënaka-pëti,,vi,return-PLUR,,,
waimutane-speak-cncs,yab,waimu-tane,,adv,speak-CNCS,,,
tetane-go-cncs,yab,të-tane,,adv,go-CNCS,,,
ejnemese-remain-ptcp,yab,ëj-nëmë-se,,adv,remain-PTCP; remain-SUP,,,
yampo-pick-up-des,yab,yam-po,,vt,pick_up-DES,,,
itatane-hear-cncs,yab,ita-tane,,adv,hear-CNCS,,,
wetane-kill-cncs,yab,wë-tane,,adv,kill-CNCS,,,
wejkari-fall-acnnmlz,yab,wëjka-ri,,n,fall-ACNNMLZ,,,
kamwiyajkapo-change-des,yab,kamwiyajka-po,,vt,change-DES,,,
yanepijke-mother-dim,yab,yanë-pïjkë,,n,mother-DIM,,,
tupo-give-des,yab,tu-po,,vt,give-DES,,,
asamori-cry-acnnmlz,yab,asamo-ri,,n,cry-ACNNMLZ,,,
teijpono-far-nmlz-1,yab,tëijpo-no,,n,far-NMLZ; long-NMLZ,,,
tarori-say-acnnmlz,yab,taro-ri,,n,say-ACNNMLZ,,,
tojpapej-hit-plur,yab,tojpa-pëj,,vt,hit-PLUR,,,
yansape-pick-up-abs-nmlz,yab,yan-sapë,,n,pick_up-ABS.NMLZ,,,
yakaramasape-tell-abs-nmlz,yab,yakarama-sapë,,n,tell-ABS.NMLZ,,,
pojteni-want-agtnmlz,yab,pojtë-ni,,n,want-AGTNMLZ,,,
yawankase-kill-ptcp,yab,yawanka-se,,adv,kill-PTCP; kill-SUP,,,
warotapo-work-des,yab,warota-po,,vi,work-DES,,,
mujnajtese-bury-ptcp,yab,mujnajtë-se,,adv,bury-PTCP; bury-SUP,,,
wejpeti-come-plur,yab,wej-pëti,,vi,come-PLUR,,,
senkane-finish-inf,yab,s-ënka-në,,n,finish-INF,,,
wejkatopo-fall-circ-nmlz,yab,wëjka-topo,,n,fall-CIRC.NMLZ,,,
waimune-speak-inf,yab,waimu-në,,n,speak-INF,,,
semone-cry-inf,yab,sëmo-në,,n,cry-INF,,,
ipej-put-plur,yab,i-pëj,,vt,put-PLUR,,,
tapari-beat-acnnmlz,yab,tapa-ri,,n,beat-ACNNMLZ,,,
itapej-hear-plur,yab,ita-pëj,,vt,hear-PLUR,,,
ise-put-ptcp,yab,i-se,,n,put-PTCP; put-SUP,,,
itajpe-hear-pst-acnnmlz,yab,ita-jpë,,n,hear-PST.ACNNMLZ,,,
yarepej-bring-plur,yab,yarë-pëj,,vt,bring-PLUR,,,
wenkejne-forget-inf,yab,wënkej-në,,n,forget-INF,,,
yapejpeti-grab-plur,yab,yapëj-pëti,,vt,grab-PLUR,,,
semopej-cry-plur,yab,sëmo-pëj,,vi,cry-PLUR,,,
tetopo-go-circ-nmlz,yab,të-topo,,n,go-CIRC.NMLZ,,,
kaimotatopo-hunt-circ-nmlz,yab,kaimota-topo,,n,hunt-CIRC.NMLZ,,,
yewukuri-answer-acnnmlz,yab,yëwuku-ri,,n,answer-ACNNMLZ,,,
epese-escape-ptcp,yab,epe-se,,adv,escape-PTCP; escape-SUP; hide_and_seek-PTCP; hide_and_seek-SUP,,,
enirom-now-nmlz,yab,eniro-m,,n,now-NMLZ; today-NMLZ,,,
semekiri-defend-acnnmlz,yab,semekï-ri,,n,defend-ACNNMLZ,,,
sempinujsape-close-eyes-abs-nmlz,yab,sëmpinuj-sapë,,n,close_eyes-ABS.NMLZ,,,
sempinujtopo-close-eyes-circ-nmlz,yab,sëmpinuj-topo,,n,close_eyes-CIRC.NMLZ,,,
wintikari-disappear-acnnmlz,yab,wintika-ri,,n,disappear-ACNNMLZ,,,
yamaneri-make-acnnmlz,yab,yamanë-ri,,n,make-ACNNMLZ,,,
yojmatopo-mix-circ-nmlz,yab,yojma-topo,,n,mix-CIRC.NMLZ,,,
kerepijke-old-dim,yab,kërë-pïjkë,,n,old-DIM,,,
yateno-loc-nmlz,yab,yatë-no,,n,LOC-NMLZ,,,
yemetopo-eat-fruits-eggs-soup-circ-nmlz,yab,yeme-topo,,n,"eat(fruits,_eggs,_soup)-CIRC.NMLZ",,,
yamanetane-make-cncs,yab,yamanë-tane,,adv,make-CNCS,,,
yempekapo-offend-des,yab,yëmpëka-po,,vt,offend-DES,,,
empamiri-learn-acnnmlz,yab,ëmpamï-ri,,n,learn-ACNNMLZ,,,
wenkejsape-forget-abs-nmlz,yab,wënkej-sapë,,n,forget-ABS.NMLZ,,,
wintikapej-disappear-plur,yab,wintika-pëj,,vi,disappear-PLUR,,,
waimurunpej-speak-plur,yab,waimurun-pëj,,vi,speak-PLUR,,,
waimupo-speak-des,yab,waimu-po,,vi,speak-DES,,,
yareni-bring-agtnmlz,yab,yarë-ni,,n,bring-AGTNMLZ,,,
sopikase-skin-ptcp,yab,sopika-se,,n,skin-PTCP; skin-SUP,,,
wontoj-enter-circ-nmlz,yab,won-toj,,n,enter-CIRC.NMLZ,,,
yareri-bring-acnnmlz,yab,yarë-ri,,n,bring-ACNNMLZ,,,
yojri-eat-starch-acnnmlz,yab,yoj-ri,,n,eat(starch)-ACNNMLZ,,,
ajpachike-undergrowth-prop,yab,ajpachi-ke,,adv,undergrowth-PROP,,,
nejpeti-bring-plur,yab,nej-pëti,,vt,bring-PLUR,,,
